Sub Order Number,Order Date,Order Status,Courier Company,AWB No,RTO Initiated Date,COD Remittance Date,RTO AWB,Unbilled Charges
315,14-01-2026 14:56:59,Rto Delivered,Amazon,366536140079,29-01-2026 00:00:00,N/A,514917942105,101.952
308,14-01-2026 14:53:24,Delivered,Xpressbees,1323154750527,N/A,30-01-2026 00:00:00,,98.84
311,14-01-2026 11:49:39,Delivered,Amazon,366533498395,N/A,23-01-2026 00:00:00,,85.2
317,14-01-2026 11:26:41,Delivered,Amazon,366533028394,N/A,30-01-2026 00:00:00,,85.2
319,14-01-2026 11:17:14,Rto Delivered,Amazon,366532822054,30-01-2026 00:00:00,N/A,514919903548,101.952
267,13-01-2026 12:30:43,Delivered,Shadowfax,SF2819651133ITL,N/A,30-01-2026 00:00:00,,91.54
301,13-01-2026 12:24:06,Delivered,Xpressbees,1323154749715,N/A,30-01-2026 00:00:00,,98.84
282,12-01-2026 11:20:59,Delivered,Amazon,366492563592,N/A,30-01-2026 00:00:00,,85.2
285,12-01-2026 11:15:49,Delivered,Amazon,366492373924,N/A,N/A,,50.98
286,12-01-2026 11:13:06,Rto Delivered,Amazon,366492259389,19-01-2026 00:00:00,N/A,514904576115,101.952
290,12-01-2026 11:10:04,Delivered,Amazon,366492062392,N/A,30-01-2026 00:00:00,,85.2
291,12-01-2026 11:07:12,Delivered,Shadowfax,SF2819652708ITL,N/A,N/A,,57.32
293,12-01-2026 11:04:26,Delivered,Amazon,366491853502,N/A,30-01-2026 00:00:00,,85.2
258,11-01-2026 15:59:08,Delivered,Shadowfax,SF2819660846ITL,N/A,30-01-2026 00:00:00,,91.54
262,11-01-2026 15:54:28,Delivered,Amazon,366473430189,N/A,N/A,,50.98
265,11-01-2026 15:49:41,Delivered,Amazon,366473398885,N/A,23-01-2026 00:00:00,,85.2
266,11-01-2026 15:47:24,Delivered,Amazon,366473368178,N/A,N/A,,50.98
268,11-01-2026 15:40:39,Delivered,Amazon,366473278095,N/A,N/A,,50.98
269,11-01-2026 15:36:10,Delivered,Xpressbees,1323154748109,N/A,30-01-2026 00:00:00,,98.84
271,11-01-2026 15:32:07,Delivered,Amazon,366473211689,N/A,N/A,,50.98
273,11-01-2026 15:28:43,Delivered,Amazon,366473162011,N/A,N/A,,50.98
276,11-01-2026 15:25:52,Delivered,Amazon,366473135084,N/A,N/A,,50.98
278,11-01-2026 15:20:13,Delivered,Shadowfax,SF2819654158ITL,N/A,N/A,,57.32
279,11-01-2026 15:17:38,Delivered,Amazon,366473042016,N/A,N/A,,50.98
281,11-01-2026 15:11:25,Delivered,Amazon,366472957953,N/A,N/A,,50.98
257,10-01-2026 16:01:11,Delivered,Amazon,366454546120,N/A,23-01-2026 00:00:00,,85.2
132,10-01-2026 15:50:26,Delivered,Amazon,366454416843,N/A,N/A,,50.98
249,10-01-2026 14:32:26,Delivered,Amazon,366453530458,N/A,N/A,,50.98
236,09-01-2026 12:36:56,Delivered,Amazon,366428854787,N/A,23-01-2026 00:00:00,,85.2
221,09-01-2026 12:24:22,Rto Delivered,Amazon,366428571981,20-01-2026 00:00:00,N/A,514906292242,187.974
220,09-01-2026 12:19:17,Delivered,Amazon,366428410792,N/A,23-01-2026 00:00:00,,85.2
234,09-01-2026 12:11:39,Delivered,Amazon,366428272710,N/A,N/A,,50.98
228,09-01-2026 12:02:57,Delivered,Amazon,366428038934,N/A,N/A,,50.98
225,09-01-2026 11:55:45,Delivered,Amazon,366427864756,N/A,N/A,,50.98
206,08-01-2026 11:54:52,Delivered,Amazon,366404284096,N/A,23-01-2026 00:00:00,,85.2
218,08-01-2026 11:30:08,Rto Delivered,Amazon,366403560061,16-01-2026 00:00:00,N/A,514900231070,101.952
204,07-01-2026 14:31:41,Delivered,Amazon,366383200971,N/A,N/A,,50.98
203,07-01-2026 14:29:07,Delivered,Amazon,366383175217,N/A,N/A,,50.98
202,07-01-2026 14:14:13,Delivered,Amazon,366382941677,N/A,N/A,,50.98
192,07-01-2026 14:06:48,Delivered,Amazon,366382800479,N/A,N/A,,50.98
191,07-01-2026 14:04:01,Delivered,Amazon,366382772868,N/A,N/A,,93.99
190,07-01-2026 13:56:33,Delivered,Amazon,366382638348,N/A,N/A,,50.98
186,06-01-2026 16:20:54,Delivered,Amazon,366359646390,N/A,N/A,,50.98
192,06-01-2026 16:15:56,Delivered,Amazon,366359563925,N/A,N/A,,50.98
196,06-01-2026 11:05:34,Rto Delivered,Xpressbees,1323151154291,15-01-2026 00:00:00,N/A,,122.154
200,06-01-2026 10:56:38,Delivered,Amazon,366352381007,N/A,N/A,,50.98
184,05-01-2026 12:55:54,Delivered,Amazon,366330575770,N/A,N/A,,50.98
175,05-01-2026 12:36:31,Delivered,Amazon,366330070336,N/A,N/A,,50.98
176,05-01-2026 12:32:13,Delivered,Amazon,366329961584,N/A,N/A,,50.98
177,05-01-2026 12:26:31,Delivered,Amazon,366329804874,N/A,N/A,,50.98
162,04-01-2026 16:57:01,Delivered,Amazon,366307947807,N/A,N/A,,50.98
166,04-01-2026 16:53:20,Delivered,Amazon,366307909348,N/A,N/A,,50.98
163,04-01-2026 16:48:47,Delivered,Amazon,366307826058,N/A,16-01-2026 00:00:00,,85.2
161,04-01-2026 16:43:58,Delivered,Amazon,366307767474,N/A,23-01-2026 00:00:00,,85.2
173,04-01-2026 16:42:11,Delivered,Amazon,366307734261,N/A,N/A,,50.98
159,04-01-2026 16:41:16,Delivered,Amazon,366307717370,N/A,23-01-2026 00:00:00,,85.2
167,04-01-2026 16:38:52,Delivered,Amazon,366307693773,N/A,23-01-2026 00:00:00,,85.2
170,04-01-2026 16:34:33,Delivered,Amazon,366307650912,N/A,23-01-2026 00:00:00,,85.2
147,03-01-2026 12:02:45,Rto Delivered,Amazon,366281831475,11-01-2026 0:00:00,N/A,514892983100,101.952
148,02-01-2026 19:18:54,Delivered,Amazon,366263952273,N/A,N/A,,50.98
149,02-01-2026 19:16:20,Delivered,Amazon,366263908706,N/A,N/A,,50.98
153,02-01-2026 19:07:50,Delivered,Amazon,366263763268,N/A,N/A,,50.98
155,02-01-2026 19:00:54,Delivered,Amazon,366263734909,N/A,N/A,,50.98
146,02-01-2026 18:41:44,Delivered,Amazon,366263533854,N/A,16-01-2026 00:00:00,,85.2
150,02-01-2026 18:38:15,Rto Delivered,Amazon,366263511623,17-01-2026 00:00:00,N/A,514902180154,101.952
154,02-01-2026 18:34:31,Rto Delivered,Amazon,366263494735,14-01-2026 00:00:00,N/A,514898066197,101.952
144,02-01-2026 11:06:30,Delivered,Amazon,366254516989,N/A,N/A,,50.98
139,01-01-2026 13:04:01,Delivered,Amazon,366235694224,N/A,N/A,,50.98
137,01-01-2026 12:56:41,Delivered,Amazon,366235550261,N/A,16-01-2026 00:00:00,,85.2
136,01-01-2026 12:52:49,Delivered,Amazon,366235476813,N/A,16-01-2026 00:00:00,,85.2
135,01-01-2026 12:47:35,Delivered,Amazon,366235371095,N/A,N/A,,50.98
138,01-01-2026 12:32:00,Delivered,Amazon,366235098459,N/A,N/A,,50.98
123,31-12-2025 18:34:04,Delivered,Amazon,366221691640,N/A,16-01-2026 00:00:00,,85.2
124,31-12-2025 18:29:52,Delivered,Amazon,366221683133,N/A,16-01-2026 00:00:00,,85.2
127,31-12-2025 18:27:09,Delivered,Amazon,366221610788,N/A,16-01-2026 00:00:00,,85.2
128,31-12-2025 18:22:13,Delivered,Amazon,366221613819,N/A,N/A,,50.98
129,31-12-2025 18:16:24,Delivered,Amazon,366221557410,N/A,N/A,,50.98
117,31-12-2025 11:11:09,Delivered,Amazon,366214520582,N/A,23-01-2026 00:00:00,,85.2
121,31-12-2025 10:57:28,Delivered,Amazon,366213965391,N/A,16-01-2026 00:00:00,,85.2
122,31-12-2025 10:46:34,Delivered,Amazon,366213511147,N/A,N/A,,50.98
110,30-12-2025 15:44:57,Delivered,Amazon,366197500816,N/A,N/A,,43.01
109,30-12-2025 15:21:36,Delivered,Amazon,366197221889,N/A,N/A,,50.98
108,30-12-2025 12:38:15,Delivered,Amazon,366194491476,N/A,16-01-2026 00:00:00,,85.2
107,30-12-2025 10:27:03,Delivered,Amazon,366190094879,N/A,N/A,,50.98
106,30-12-2025 10:04:15,Delivered,Amazon,366188810771,N/A,N/A,,50.98
105,29-12-2025 21:38:40,Delivered,Amazon,366179073543,N/A,N/A,,50.98
104,29-12-2025 19:28:57,Delivered,Amazon,366177407340,N/A,16-01-2026 00:00:00,,85.2
98,29-12-2025 18:53:43,Delivered,Amazon,366176997965,N/A,16-01-2026 00:00:00,,85.2
93,28-12-2025 19:59:20,Delivered,Amazon,366152543957,N/A,16-01-2026 00:00:00,,85.2
