Status,Order Number,Order Date,State,Product Name,SKU,Quantity,Price,Packet Id,Transaction ID,Payment Date,Amount
SHIPPED,248477716362601025_1,2026-01-29,Delhi,Premium OUD Hanging Car Perfume | Long-Lasting Freshener | Alcohol-Free | 10ml | Roll Mills ,_hzWI1rq,1,85,KP1VNBR58771040,,,
SHIPPED,248522475043070406_1,2026-01-30,Haryana,Premium OUD Hanging Car Perfume | Long-Lasting Freshener | Alcohol-Free | 10ml | Roll Mills ,_hzWI1rq,1,85,KP1VNBR58771044,,,
SHIPPED,248648818856616576_1,2026-01-30,Uttar Pradesh,"Sank Magic Practice Copybook Set for Kids (4 Books + 1 Pen + 10 Refills + Grip) | Preschool Handwriting Workbook | Reusable Tracing Book for Ages 3+ | Alphabet, Numbers, Drawing & Math Learning",14664,1,119,NP5UFEU00851864,,,
SHIPPED,248676881132741568_1,2026-01-30,Uttar Pradesh,"Pack Of 5 Microfiber Cleaning Cloth for Car & Home | Super Absorbent Microfiber Cleaning Towel | Car Washing Cloth | Vehicle Polishing & Drying Cloth | Kitchen, Glass & Household Cleaning Cloth (Multicolor)",vG_4bAqg,1,225,NP5UFEU00851865,,,
SHIPPED,248693896799266048_1,2026-01-30,Uttar Pradesh,Electric Heating Pad | Fast Charging & Auto Shut-Off | Skin Safe Pain Relief Heat Pad for Body,xHWNNakE,1,219,NP5UFEU00851869,,,
READY_TO_SHIP,248734942266598720_1,2026-01-30,Maharashtra,"Pack Of 5 Microfiber Cleaning Cloth for Car & Home | Super Absorbent Microfiber Cleaning Towel | Car Washing Cloth | Vehicle Polishing & Drying Cloth | Kitchen, Glass & Household Cleaning Cloth (Multicolor)",vG_4bAqg,1,225,NP5UFEU00851873,,,
SHIPPED,248764154713154944_1,2026-01-30,Maharashtra,Electric Heating Pad | Fast Charging & Auto Shut-Off | Skin Safe Pain Relief Heat Pad for Body,xHWNNakE,1,219,NP5UFEU00851870,,,
SHIPPED,248843657468650816_1,2026-01-30,Uttar Pradesh,Electric Heating Pad | Fast Charging & Auto Shut-Off | Skin Safe Pain Relief Heat Pad for Body,xHWNNakE,1,219,NP5UFEU00851871,,,
READY_TO_SHIP,249024144279545089_1,2026-01-31,Uttar Pradesh,Premium OUD Hanging Car Perfume | Long-Lasting Freshener | Alcohol-Free | 10ml | Roll Mills ,_hzWI1rq,1,99,KP1VNBR58771492,,,
SHIPPED,249025608938890497_1,2026-01-31,Maharashtra,Premium OUD Hanging Car Perfume | Long-Lasting Freshener | Alcohol-Free | 10ml | Roll Mills ,_hzWI1rq,1,85,KP1VNBR58771490,,,
SHIPPED,249032818393818368_1,2026-01-31,Haryana,Premium OUD Hanging Car Perfume | Long-Lasting Freshener | Alcohol-Free | 10ml | Roll Mills ,_hzWI1rq,1,85,KP1VNBR58771488,,,
READY_TO_SHIP,249049873910129280_1,2026-01-31,Delhi,Premium OUD Hanging Car Perfume | Long-Lasting Freshener | Alcohol-Free | 10ml | Roll Mills ,_hzWI1rq,1,99,KP1VNBR58771489,,,
